# KEGG facts behind kegg_predicates.tsv, generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	symbols	name	brite	modules
K00001	ADH	alcohol dehydrogenase [EC:1.1.1.1]		
K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]		M00014,M00129
K00003	hom	homoserine dehydrogenase [EC:1.1.1.3]		M00017,M00018
K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]		
K00005	gldA	glycerol dehydrogenase [EC:1.1.1.6]		
K00006	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]		
K00007	dalD	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]		
K00008	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]		M00014
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]		
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]		
K00011	AKR1B	aldehyde reductase [EC:1.1.1.21]		
K00012	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]		M00014,M00129,M00761,M00997,M00999
K00013	hisD	histidinol dehydrogenase [EC:1.1.1.23]		M00026
K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]		M00022
K00015	gyaR, GOR1	glyoxylate reductase [EC:1.1.1.26]		
K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]		
K00018	hprA	glycerate dehydrogenase [EC:1.1.1.29]		M00346
K00019	BDH1, bdhA	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]		M00088
K00020	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]		
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]		M00095,M00849
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]		M00032,M00085,M00087
K00023	phbB	acetoacetyl-CoA reductase [EC:1.1.1.36]		M00373
K00024	mdh	malate dehydrogenase [EC:1.1.1.37]		M00009,M00011,M00012,M00168,M00173,M00346,M00374,M00620,M00740,M00982
K00025	MDH1	malate dehydrogenase [EC:1.1.1.37]		M00009,M00011,M00012,M00168,M00171
K00026	MDH2	malate dehydrogenase [EC:1.1.1.37]		M00009,M00011,M00012,M00168,M00171
K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]		
K00028	E1.1.1.39	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]		M00171
K00029	maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]		M00169,M00172
K00030	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]		M00009,M00010
K00031	IDH1, IDH2, icd, IDP	isocitrate dehydrogenase [EC:1.1.1.42]		M00009,M00010,M00173,M00740
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]		
K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]		M00004,M00006
K00034	gdh	glucose 1-dehydrogenase [EC:1.1.1.47]		
K00035	gal	D-galactose 1-dehydrogenase [EC:1.1.1.48]		
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]		M00004,M00006,M00008
K00037	AKR1C4	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]		M00104,M00977
K00038	fabG3	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]		
K00039	rbtD	ribitol 2-dehydrogenase [EC:1.1.1.56]		
K00040	uxuB	fructuronate reductase [EC:1.1.1.57]		M00061
K00041	uxaB	tagaturonate reductase [EC:1.1.1.58]		M00631
K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]		
K00043	gbd	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]		
K00044	HSD17B1	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]		
K00045	mtlK, MAN	mannitol 2-dehydrogenase [EC:1.1.1.67]		
K00046	idnO	gluconate 5-dehydrogenase [EC:1.1.1.69]		
K00048	fucO	lactaldehyde reductase [EC:1.1.1.77]		
K00049	GRHPR	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]		
K00051	E1.1.1.82	malate dehydrogenase (NADP+) [EC:1.1.1.82]		M00172
K00052	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:1.1.1.85]		M00432,M00535
K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]		M00019,M00570
K00054	mvaA	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]		M00849
K00055	E1.1.1.90	aryl-alcohol dehydrogenase [EC:1.1.1.90]		M00537,M00538
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]		
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]		M00020
K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]		M00083,M00572,M00874
K00060	tdh	threonine 3-dehydrogenase [EC:1.1.1.103]		
K00061	RDH5	11-cis-retinol dehydrogenase / 3alpha-hydroxysteroid dehydrogenase [EC:1.1.1.315 1.1.1.-]		
K00062	ARA2	D-arabinose 1-dehydrogenase [EC:1.1.1.116]		
K00063	ARA1	D-arabinose 1-dehydrogenase [EC:1.1.1.117]		
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]		
K00065	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]		
K00066	algD	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]		
K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]		M00793
K00068	srlD	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]		
K00069	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]		
K00070	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]		M00107,M00110,M00976,M00977
K00071	HSD11B2	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]		M00109
K00072	SPR	sepiapterin reductase [EC:1.1.1.153]		M00842
K00073	allD	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]		
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]		M00878
K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	ko01011:Precursor biosynthesis > Transferase/Dehydrogenase	M00995
K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]		
K00077	panE, apbA	2-dehydropantoate 2-reductase [EC:1.1.1.169]		M00119,M00913,M00914
K00078	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]		
K00079	CBR1	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]		
K00081	CBR2	carbonyl reductase 2 [EC:1.1.1.184]		
K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]		M00125
K00083	CAD	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]		M00039
K00084	CBR3	carbonyl reductase 3 [EC:1.1.1.184]		
K00085	E1.1.1.200	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]		
K00086	dhaT	1,3-propanediol dehydrogenase [EC:1.1.1.202]		
K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]		M00546+,M00958+,M00959+
K00088	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]		M00050
K00089	AKR1C2	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]		M00977
K00090	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]		
K00091	E1.1.1.219	dihydroflavonol-4-reductase [EC:1.1.1.219]		
K00093	mdh	methanol dehydrogenase [EC:1.1.1.244]		
K00094	gatD	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]		
K00095	MTD	mannitol dehydrogenase [EC:1.1.1.255]		
K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]		
K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]		M00124
K00098	idnD	L-idonate 5-dehydrogenase [EC:1.1.1.264]		
K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]		M00096
K00100	bdhAB	butanol dehydrogenase [EC:1.1.1.-]		
K00101	CYB2, FCB2	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]		
K00102	LDHD, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]		
K00103	GULO	L-gulonolactone oxidase [EC:1.1.3.8]		M00129
K00104	glcD	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]		
K00105	glpO	alpha-glycerophosphate oxidase [EC:1.1.3.21]		
K00106	XDH	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]		M00546,M00958,M00959
K00107	ALO	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]		
K00108	betA, CHDH	choline dehydrogenase [EC:1.1.99.1]		M00555
K00109	L2HGDH	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]		
K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]		
K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]		
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C		
K00114	exaA	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]		
K00115	GLD	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]		
K00116	mqo	malate dehydrogenase (quinone) [EC:1.1.5.4]		M00009,M00011,M00982
K00117	gcd	quinoprotein glucose dehydrogenase [EC:1.1.5.2]		
K00118	gfo	glucose-fructose oxidoreductase [EC:1.1.99.28]		
K00119	E1.1.99.36	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]		
K00120	fgd2	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]		
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]		
K00122	FDH	formate dehydrogenase [EC:1.17.1.9]		
K00123	fdoG, fdhF, fdwA	formate dehydrogenase major subunit [EC:1.17.1.9]		
K00124	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit		
K00125	fdhB	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]		M00356+,M00357+,M00563+,M00567+
K00126	fdsD	formate dehydrogenase subunit delta [EC:1.17.1.9]		
K00127	fdoI, fdsG	formate dehydrogenase subunit gamma		
K00128	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]		M00135,M00913,M01047
K00129	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]		
K00130	betB, gbsA	betaine-aldehyde dehydrogenase [EC:1.2.1.8]		M00555
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]		
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]		
K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]		M00016,M00017,M00018,M00033,M00525,M00526,M00527
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]		M00001,M00002,M00003,M00165,M00308,M00552
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]		M00027,M00956,M00957
K00137	prr	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]		M00956
K00138	aldB	aldehyde dehydrogenase [EC:1.2.1.-]		
K00139	ALDH5A1	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]		M00027
K00140	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]		M00013,M00991,M00992
K00141	xylC	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]		M00537,M00538
K00142	AASDH	acyl-CoA synthetase [EC:6.2.1.-]		
K00143	LYS2	L-2-aminoadipate reductase [EC:1.2.1.95]		M00030
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]		M00028,M00845
K00146	feaB, tynC	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]		
K00147	proA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]		M00015
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]		
K00149	ALDH9A1	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]		M00135
K00150	gap2, gapB	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]		M00001,M00002,M00003,M00165,M00308,M00552
K00151	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]		M00533
K00152	nahF	salicylaldehyde dehydrogenase [EC:1.2.1.65]		M00534
K00153	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]		
K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]		
K00155	LNAA, LNBA	L-tyrosine reductase [EC:1.2.1.101]		
K00156	poxB	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]		
K00157	AOX	aldehyde oxidase [EC:1.2.3.1]		
K00158	spxB, poxL	pyruvate oxidase [EC:1.2.3.3]		
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]		M00307+
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]		M00307+
K00163	aceE	pyruvate dehydrogenase E1 component [EC:1.2.4.1]		M00307+
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]		M00009+,M00011+
K00166	BCKDHA, bkdA1	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]		M00036+
K00167	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]		M00036+
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]		M00173+,M00307+,M00374+,M00620+
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]		M00173+,M00307+,M00374+,M00620+
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]		M00173+,M00307+,M00374+,M00620+
K00172	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]		M00173+,M00307+,M00374+,M00620+
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]		M00009+,M00011+,M00173+,M00620+
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]		M00009+,M00011+,M00173+,M00620+
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]		M00009+,M00011+,M00173+,M00620+
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]		M00009+,M00011+,M00173+,M00620+
K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]		
K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]		
K00181	PORCN	O-palmitoleoyl transferase [EC:2.3.1.250]		
K00184	dmsB	dimethyl sulfoxide reductase iron-sulfur subunit	ko02000:Other transporters > Transmembrane electron carriers [TC:5]	
K00185	dmsC	dimethyl sulfoxide reductase membrane subunit	ko02000:Other transporters > Transmembrane electron carriers [TC:5]	
K00186	vorA	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]		
K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]		
K00188	vorD	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]		
K00189	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]		M00307+
K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]		M00422+
K00193	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]		M00357+,M00422+
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]		M00357+,M00377+,M00422+
K00195	cdhB	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon		M00422+
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit		
K00197	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]		M00357+,M00377+,M00422+
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]		M00377
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]		M00567+
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]		M00567+
K00202	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]		M00567+
K00203	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]		M00567+
K00204	fwdH	4Fe-4S ferredoxin		M00567+
K00205	fwdF, fmdF	4Fe-4S ferredoxin		M00567+
K00206	phnY	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]		
K00207	DPYD	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]		M00046
K00208	fabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]		M00083,M00572
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]		M00083
K00211	TYR1	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]		M00025
K00212	AKR1C1	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]		
K00213	DHCR7	7-dehydrocholesterol reductase [EC:1.3.1.21]		M00101,M00917
K00214	BLVRA, bvdR	biliverdin reductase [EC:1.3.1.24]		
K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]		M00016,M00525,M00526,M00527
K00216	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]		
K00217	E1.3.1.32	maleylacetate reductase [EC:1.3.1.32]		
K00218	por	protochlorophyllide reductase [EC:1.3.1.33]		
K00219	fadH	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]		
K00220	tyrC	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]		M00040
K00221	E4.99.1.2	alkylmercury lyase [EC:4.99.1.2]		
K00222	TM7SF2, ERG24	Delta14-sterol reductase [EC:1.3.1.70]		M00101,M00102,M00917
K00223	ERG4	Delta24(24(1))-sterol reductase [EC:1.3.1.71]		M00102
K00224	CEQORH	chloroplastic oxoene reductase [EC:1.3.1.-]		
K00225	GLDH	L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]		M00114
K00226	pyrD	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]		M00051
K00227	SC5DL, ERG3	Delta7-sterol 5-desaturase [EC:1.14.19.20]		M00101,M00102,M00917
K00228	CPOX, hemF	coproporphyrinogen III oxidase [EC:1.3.3.3]		M00121,M00868
K00230	hemG	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]		M00121
K00231	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]		M00121,M00868,M00926
K00232	ACOX1_3, POX1	acyl-CoA oxidase [EC:1.3.3.6]		M00013,M00087,M00113,M00861
K00233	frdA, fdrA	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12]		
K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]		M00009+,M00011+,M00148+
K00235	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]		M00009+,M00011+,M00148+
K00236	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		M00009+,M00011+,M00148+
K00237	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit		M00009+,M00011+,M00148+
K00239	sdhA, frdA	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]		M00009+,M00011+,M00149+,M00173+,M00374+,M00376+,M00982+
K00240	sdhB, frdB	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]		M00009+,M00011+,M00149+,M00173+,M00374+,M00376+,M00982+
K00241	sdhC, frdC	succinate dehydrogenase cytochrome b subunit		M00009+,M00011+,M00149+,M00173+,M00374+,M00376+,M00982+
K00242	sdhD, frdD	succinate dehydrogenase membrane anchor subunit		M00009+,M00011+,M00149+,M00173+,M00982+
K00243	K00243	uncharacterized protein		
K00244	frdA	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]		M00009+,M00011+,M00150+,M00982+
K00245	frdB	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]		M00009+,M00011+,M00150+,M00982+
K00246	frdC	succinate dehydrogenase subunit C		M00009+,M00011+,M00150+,M00982+
K00247	frdD	succinate dehydrogenase subunit D		M00009+,M00011+,M00150+,M00982+
K00248	ACADS, bcd	butyryl-CoA dehydrogenase [EC:1.3.8.1]		M00013
K00249	ACADM, acd	acyl-CoA dehydrogenase [EC:1.3.8.7]		M00036,M00087
K00251	AKR1D1	3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]		M00104
K00252	GCDH, gcdH	glutaryl-CoA dehydrogenase [EC:1.3.8.6]		M00032,M00957
K00253	IVD, ivd	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]		M00036
K00254	DHODH, pyrD	dihydroorotate dehydrogenase [EC:1.3.5.2]		M00051
K00255	ACADL	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]		M00087
K00257	mbtN, fadE14	acyl-ACP dehydrogenase [EC:1.3.99.-]		
K00258	SWNR	swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-]		
K00259	ald	alanine dehydrogenase [EC:1.4.1.1]		
K00260	gudB, rocG	glutamate dehydrogenase [EC:1.4.1.2]		
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]		M00740
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]		
K00263	E1.4.1.9	leucine dehydrogenase [EC:1.4.1.9]		
K00264	GLT1	glutamate synthase (NADH) [EC:1.4.1.14]		
K00265	gltB	glutamate synthase (NADPH) large chain [EC:1.4.1.13]	ko01002:Cysteine peptidases > Family C44	
K00266	gltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]		
K00270	pdh	phenylalanine dehydrogenase [EC:1.4.1.20]		
K00271	vdh	valine dehydrogenase (NAD+) [EC:1.4.1.23]		
K00272	DDO	D-aspartate oxidase [EC:1.4.3.1]		
K00273	DAO, aao	D-amino-acid oxidase [EC:1.4.3.3]		
K00274	MAO, aofH	monoamine oxidase [EC:1.4.3.4]		M00135
K00275	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]		M00124
K00276	AOC3, AOC2, tynA	primary-amine oxidase [EC:1.4.3.21]		
K00277	LOX	protein-lysine 6-oxidase [EC:1.4.3.13]		
K00278	nadB	L-aspartate oxidase [EC:1.4.3.16]		M00115
K00279	CKX	cytokinin dehydrogenase [EC:1.5.99.12]		
K00280	LOXL2_3_4	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]		
K00281	GLDC, gcvP	glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]		M00532+,M00621
K00282	gcvPA	glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]		M00621+
K00283	gcvPB	glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]		M00621+
K00284	GLU, gltS	glutamate synthase (ferredoxin) [EC:1.4.7.1]	ko01002:Cysteine peptidases > Family C44	
K00285	dadA	D-amino-acid dehydrogenase [EC:1.4.5.1]		
K00286	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]		M00015,M00972
K00287	DHFR, folA	dihydrofolate reductase [EC:1.5.1.3]		M00126,M00840
K00288	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]		M00141
K00289	ALDH1L	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]		
K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]		M00030
K00293	LYS9	saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]		M00030
K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]		M00970
K00295	MTD1	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]		
K00296	nos	D-nopaline dehydrogenase [EC:1.5.1.19]		
K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]		M00377+
K00298	ceo	N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]		
K00299	ssuE, msuE	FMN reductase [EC:1.5.1.38]		
K00300	mtdA	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]		M00140
K00301	E1.5.3.1	sarcosine oxidase [EC:1.5.3.1]		M00975
K00302	soxA	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]		M00975+
K00303	soxB	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]		M00975+
K00304	soxD	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]		M00975+
K00305	soxG	sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]		M00975+
K00306	PIPOX	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]		M00974
