# Generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicates	evidence
K00001	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.1;nad_binding=ec:1.1.1.1;oxidoreductase=ec:1.1.1.1
K00002	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.2;nad_binding=ec:1.1.1.2;oxidoreductase=ec:1.1.1.2
K00003	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.3;nad_binding=ec:1.1.1.3;oxidoreductase=ec:1.1.1.3
K00004	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.4;nad_binding=ec:1.1.1.4;oxidoreductase=ec:1.1.1.4;reductase=text:reductase
K00005	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.6;nad_binding=ec:1.1.1.6;oxidoreductase=ec:1.1.1.6
K00006	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.8;nad_binding=ec:1.1.1.8;oxidoreductase=ec:1.1.1.8
K00007	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.11;nad_binding=ec:1.1.1.11;oxidoreductase=ec:1.1.1.11
K00008	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.14;nad_binding=ec:1.1.1.14;oxidoreductase=ec:1.1.1.14
K00009	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.17;nad_binding=ec:1.1.1.17;oxidoreductase=ec:1.1.1.17
K00010	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.18;nad_binding=ec:1.1.1.18;oxidoreductase=ec:1.1.1.18
K00011	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.21;nad_binding=ec:1.1.1.21;oxidoreductase=ec:1.1.1.21;reductase=text:reductase
K00012	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.22;nad_binding=ec:1.1.1.22;oxidoreductase=ec:1.1.1.22
K00013	dehydrogenase,histidine_biosynthesis,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.23;histidine_biosynthesis=module:M00026;nad_binding=ec:1.1.1.23;oxidoreductase=ec:1.1.1.23
K00014	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.25;nad_binding=ec:1.1.1.25;oxidoreductase=ec:1.1.1.25
K00015	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.26;nad_binding=ec:1.1.1.26;oxidoreductase=ec:1.1.1.26;reductase=text:reductase
K00016	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.27;nad_binding=ec:1.1.1.27;oxidoreductase=ec:1.1.1.27
K00018	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.29;nad_binding=ec:1.1.1.29;oxidoreductase=ec:1.1.1.29
K00019	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.30;nad_binding=ec:1.1.1.30;oxidoreductase=ec:1.1.1.30
K00020	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.31;nad_binding=ec:1.1.1.31;oxidoreductase=ec:1.1.1.31
K00021	dehydrogenase,isoprenoid_biosynthesis,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.34;isoprenoid_biosynthesis=module:M00095;nad_binding=ec:1.1.1.34;oxidoreductase=ec:1.1.1.34;reductase=text:reductase
K00022	beta_oxidation,dehydrogenase,fatty_acid_degradation,nad_binding,oxidoreductase	beta_oxidation=module:M00087;dehydrogenase=ec:1.1.1.35;fatty_acid_degradation=module:M00087;nad_binding=ec:1.1.1.35;oxidoreductase=ec:1.1.1.35
K00023	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.36;nad_binding=ec:1.1.1.36;oxidoreductase=ec:1.1.1.36;reductase=text:reductase
K00024	central_metabolism,dehydrogenase,glyoxylate_cycle,nad_binding,oxidoreductase,tca_cycle	central_metabolism=text:malate dehydrogenase;dehydrogenase=ec:1.1.1.37;glyoxylate_cycle=module:M00012;nad_binding=ec:1.1.1.37;oxidoreductase=ec:1.1.1.37;tca_cycle=module:M00009
K00025	dehydrogenase,glyoxylate_cycle,nad_binding,oxidoreductase,tca_cycle	dehydrogenase=ec:1.1.1.37;glyoxylate_cycle=module:M00012;nad_binding=ec:1.1.1.37;oxidoreductase=ec:1.1.1.37;tca_cycle=module:M00009
K00026	dehydrogenase,glyoxylate_cycle,nad_binding,oxidoreductase,tca_cycle	dehydrogenase=ec:1.1.1.37;glyoxylate_cycle=module:M00012;nad_binding=ec:1.1.1.37;oxidoreductase=ec:1.1.1.37;tca_cycle=module:M00009
K00027	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.38;nad_binding=ec:1.1.1.38;oxidoreductase=ec:1.1.1.38
K00028	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.39;nad_binding=ec:1.1.1.39;oxidoreductase=ec:1.1.1.39
K00029	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.40;nad_binding=ec:1.1.1.40;oxidoreductase=ec:1.1.1.40
K00030	dehydrogenase,nad_binding,oxidoreductase,tca_cycle	dehydrogenase=ec:1.1.1.41;nad_binding=ec:1.1.1.41;oxidoreductase=ec:1.1.1.41;tca_cycle=module:M00009
K00031	central_metabolism,dehydrogenase,nad_binding,oxidoreductase,tca_cycle	central_metabolism=text:isocitrate;dehydrogenase=ec:1.1.1.42;nad_binding=ec:1.1.1.42;oxidoreductase=ec:1.1.1.42;tca_cycle=module:M00009
K00032	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.43;nad_binding=ec:1.1.1.43;oxidoreductase=ec:1.1.1.43
K00033	dehydrogenase,nad_binding,oxidoreductase,pentose_phosphate	dehydrogenase=ec:1.1.1.44;nad_binding=ec:1.1.1.44;oxidoreductase=ec:1.1.1.44;pentose_phosphate=module:M00004
K00034	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.47;nad_binding=ec:1.1.1.47;oxidoreductase=ec:1.1.1.47
K00035	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.48;nad_binding=ec:1.1.1.48;oxidoreductase=ec:1.1.1.48
K00036	dehydrogenase,entner_doudoroff,nad_binding,oxidoreductase,pentose_phosphate	dehydrogenase=ec:1.1.1.49;entner_doudoroff=module:M00008;nad_binding=ec:1.1.1.49;oxidoreductase=ec:1.1.1.49;pentose_phosphate=module:M00004
K00037	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.50;nad_binding=ec:1.1.1.50;oxidoreductase=ec:1.1.1.50;reductase=text:reductase
K00038	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.53;nad_binding=ec:1.1.1.53;oxidoreductase=ec:1.1.1.53
K00039	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.56;nad_binding=ec:1.1.1.56;oxidoreductase=ec:1.1.1.56
K00040	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.57;nad_binding=ec:1.1.1.57;oxidoreductase=ec:1.1.1.57;reductase=text:reductase
K00041	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.58;nad_binding=ec:1.1.1.58;oxidoreductase=ec:1.1.1.58;reductase=text:reductase
K00042	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.60;nad_binding=ec:1.1.1.60;oxidoreductase=ec:1.1.1.60;reductase=text:reductase
K00043	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.61;nad_binding=ec:1.1.1.61;oxidoreductase=ec:1.1.1.61
K00044	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.62;nad_binding=ec:1.1.1.62;oxidoreductase=ec:1.1.1.62
K00045	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.67;nad_binding=ec:1.1.1.67;oxidoreductase=ec:1.1.1.67
K00046	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.69;nad_binding=ec:1.1.1.69;oxidoreductase=ec:1.1.1.69
K00048	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.77;nad_binding=ec:1.1.1.77;oxidoreductase=ec:1.1.1.77;reductase=text:reductase
K00049	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.79;nad_binding=ec:1.1.1.79;oxidoreductase=ec:1.1.1.79;reductase=text:reductase
K00051	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.82;nad_binding=ec:1.1.1.82;oxidoreductase=ec:1.1.1.82
K00052	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.85;nad_binding=ec:1.1.1.85;oxidoreductase=ec:1.1.1.85
K00053	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.86;nad_binding=ec:1.1.1.86;oxidoreductase=ec:1.1.1.86
K00054	dehydrogenase,isoprenoid_biosynthesis,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.88;isoprenoid_biosynthesis=module:M00849;nad_binding=ec:1.1.1.88;oxidoreductase=ec:1.1.1.88;reductase=text:reductase
K00055	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.90;nad_binding=ec:1.1.1.90;oxidoreductase=ec:1.1.1.90
K00057	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.94;nad_binding=ec:1.1.1.94;oxidoreductase=ec:1.1.1.94
K00058	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.95;nad_binding=ec:1.1.1.95;oxidoreductase=ec:1.1.1.95;reductase=text:reductase
K00059	dehydrogenase,fatty_acid_synthesis,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.100;fatty_acid_synthesis=module:M00083;nad_binding=ec:1.1.1.100;oxidoreductase=ec:1.1.1.100;reductase=text:reductase
K00060	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.103;nad_binding=ec:1.1.1.103;oxidoreductase=ec:1.1.1.103
K00061	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.315;nad_binding=ec:1.1.1.315;oxidoreductase=ec:1.1.1.315
K00062	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.116;nad_binding=ec:1.1.1.116;oxidoreductase=ec:1.1.1.116
K00063	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.117;nad_binding=ec:1.1.1.117;oxidoreductase=ec:1.1.1.117
K00064	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.122;nad_binding=ec:1.1.1.122;oxidoreductase=ec:1.1.1.122
K00065	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.127;nad_binding=ec:1.1.1.127;oxidoreductase=ec:1.1.1.127
K00066	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.132;nad_binding=ec:1.1.1.132;oxidoreductase=ec:1.1.1.132
K00067	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.133;nad_binding=ec:1.1.1.133;oxidoreductase=ec:1.1.1.133;reductase=text:reductase
K00068	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.140;nad_binding=ec:1.1.1.140;oxidoreductase=ec:1.1.1.140
K00069	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.141;nad_binding=ec:1.1.1.141;oxidoreductase=ec:1.1.1.141
K00070	dehydrogenase,isomerase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.145;isomerase=ec:5.3.3.1;nad_binding=ec:1.1.1.145;oxidoreductase=ec:1.1.1.145
K00071	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.-;nad_binding=ec:1.1.1.-;oxidoreductase=ec:1.1.1.-
K00072	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.153;nad_binding=ec:1.1.1.153;oxidoreductase=ec:1.1.1.153;reductase=text:reductase
K00073	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.350;nad_binding=ec:1.1.1.350;oxidoreductase=ec:1.1.1.350
K00074	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.157;nad_binding=ec:1.1.1.157;oxidoreductase=ec:1.1.1.157
K00075	dehydrogenase,murein_synthesis,nad_binding,oxidoreductase,peptidoglycan	dehydrogenase=text:dehydrogenase;murein_synthesis=brite:ko01011 Precursor biosynthesis > Transferase/Dehydrogenase;nad_binding=ec:1.3.1.98;oxidoreductase=ec:1.3.1.98;peptidoglycan=brite:ko01011 Precursor biosynthesis > Transferase/Dehydrogenase
K00076	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.159;nad_binding=ec:1.1.1.159;oxidoreductase=ec:1.1.1.159
K00077	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.169;nad_binding=ec:1.1.1.169;oxidoreductase=ec:1.1.1.169;reductase=text:reductase
K00078	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.179;nad_binding=ec:1.3.1.20;oxidoreductase=ec:1.3.1.20
K00079	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.184;nad_binding=ec:1.1.1.184;oxidoreductase=ec:1.1.1.184;reductase=text:reductase
K00081	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.184;nad_binding=ec:1.1.1.184;oxidoreductase=ec:1.1.1.184;reductase=text:reductase
K00082	dehydrogenase,fad_biosynthesis,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.193;fad_biosynthesis=module:M00125;nad_binding=ec:1.1.1.193;oxidoreductase=ec:1.1.1.193;reductase=text:reductase
K00083	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.195;nad_binding=ec:1.1.1.195;oxidoreductase=ec:1.1.1.195
K00084	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.184;nad_binding=ec:1.1.1.184;oxidoreductase=ec:1.1.1.184;reductase=text:reductase
K00085	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.200;nad_binding=ec:1.1.1.200;oxidoreductase=ec:1.1.1.200;reductase=text:reductase
K00086	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.202;nad_binding=ec:1.1.1.202;oxidoreductase=ec:1.1.1.202
K00087	complex_subunit,dehydrogenase,nad_binding,oxidoreductase	complex_subunit=module:M00546;dehydrogenase=text:dehydrogenase;nad_binding=ec:1.17.1.4;oxidoreductase=ec:1.17.1.4
K00088	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.205;nad_binding=ec:1.1.1.205;oxidoreductase=ec:1.1.1.205
K00089	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.213;nad_binding=ec:1.1.1.213;oxidoreductase=ec:1.1.1.213
K00090	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.79;nad_binding=ec:1.1.1.79;oxidoreductase=ec:1.1.1.79;reductase=text:reductase
K00091	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.219;nad_binding=ec:1.1.1.219;oxidoreductase=ec:1.1.1.219;reductase=text:reductase
K00093	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.244;nad_binding=ec:1.1.1.244;oxidoreductase=ec:1.1.1.244
K00094	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.251;nad_binding=ec:1.1.1.251;oxidoreductase=ec:1.1.1.251
K00095	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.255;nad_binding=ec:1.1.1.255;oxidoreductase=ec:1.1.1.255
K00096	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.261;nad_binding=ec:1.1.1.261;oxidoreductase=ec:1.1.1.261
K00097	dehydrogenase,nad_binding,oxidoreductase,pyridoxal_biosynthesis	dehydrogenase=ec:1.1.1.262;nad_binding=ec:1.1.1.262;oxidoreductase=ec:1.1.1.262;pyridoxal_biosynthesis=module:M00124
K00098	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.264;nad_binding=ec:1.1.1.264;oxidoreductase=ec:1.1.1.264
K00099	dehydrogenase,isoprenoid_biosynthesis,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.267;isoprenoid_biosynthesis=module:M00096;nad_binding=ec:1.1.1.267;oxidoreductase=ec:1.1.1.267
K00100	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.-;nad_binding=ec:1.1.1.-;oxidoreductase=ec:1.1.1.-
K00101	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.2.3
K00102	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.2.4
K00103	oxidase,oxidoreductase	oxidase=text:oxidase;oxidoreductase=ec:1.1.3.8
K00104	dehydrogenase,fad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;fad_binding=text:FAD;oxidoreductase=ec:1.1.99.14
K00105	oxidase,oxidoreductase	oxidase=text:oxidase;oxidoreductase=ec:1.1.3.21
K00106	dehydrogenase,nad_binding,oxidase,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.17.1.4;oxidase=text:oxidase;oxidoreductase=ec:1.17.1.4
K00107	oxidase,oxidoreductase	oxidase=text:oxidase;oxidoreductase=ec:1.1.3.37
K00108	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=swissprot:114/117;oxidoreductase=ec:1.1.99.1
K00109	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.99.2
K00111	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.5.3
K00112	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.5.3
K00113	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase
K00114	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.2.8
K00115	dehydrogenase,fad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;fad_binding=text:FAD;oxidoreductase=ec:1.1.5.9
K00116	dehydrogenase,oxidoreductase,tca_cycle	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.5.4;tca_cycle=module:M00009
K00117	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.5.2
K00118	oxidoreductase	oxidoreductase=ec:1.1.99.28
K00119	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.99.36
K00120	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.98.-
K00121	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.284;nad_binding=ec:1.1.1.284;oxidoreductase=ec:1.1.1.284
K00122	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.17.1.9;oxidoreductase=ec:1.17.1.9
K00123	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.17.1.9;oxidoreductase=ec:1.17.1.9
K00124	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase
K00125	complex_subunit,dehydrogenase,oxidoreductase,sulfur_metabolism	complex_subunit=module:M00356;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.17.98.3;sulfur_metabolism=ec:1.8.98.6
K00126	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.17.1.9;oxidoreductase=ec:1.17.1.9
K00127	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase
K00128	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.3;oxidoreductase=ec:1.2.1.3
K00129	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.5;oxidoreductase=ec:1.2.1.5
K00130	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.8;oxidoreductase=ec:1.2.1.8
K00131	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.9;oxidoreductase=ec:1.2.1.9
K00132	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.10;oxidoreductase=ec:1.2.1.10
K00133	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.11;oxidoreductase=ec:1.2.1.11
K00134	central_metabolism,dehydrogenase,entner_doudoroff,gluconeogenesis,glycolysis,nad_binding,oxidoreductase	central_metabolism=text:glyceraldehyde;dehydrogenase=text:dehydrogenase;entner_doudoroff=module:M00308;gluconeogenesis=module:M00003;glycolysis=module:M00001;nad_binding=ec:1.2.1.12;oxidoreductase=ec:1.2.1.12
K00135	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.16;oxidoreductase=ec:1.2.1.16
K00137	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.19;oxidoreductase=ec:1.2.1.19
K00138	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.-;oxidoreductase=ec:1.2.1.-
K00139	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.24;oxidoreductase=ec:1.2.1.24
K00140	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.18;oxidoreductase=ec:1.2.1.18
K00141	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.28;oxidoreductase=ec:1.2.1.28
K00142	ligase,synthetase	ligase=ec:6.2.1.-;synthetase=ec:6.2.1.-
K00143	nad_binding,oxidoreductase,reductase	nad_binding=ec:1.2.1.95;oxidoreductase=ec:1.2.1.95;reductase=text:reductase
K00145	nad_binding,oxidoreductase,reductase	nad_binding=ec:1.2.1.38;oxidoreductase=ec:1.2.1.38;reductase=text:reductase
K00146	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.39;oxidoreductase=ec:1.2.1.39
K00147	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.41;oxidoreductase=ec:1.2.1.41
K00148	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.46;oxidoreductase=ec:1.2.1.46
K00149	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.47;oxidoreductase=ec:1.2.1.47
K00150	dehydrogenase,entner_doudoroff,gluconeogenesis,glycolysis,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;entner_doudoroff=module:M00308;gluconeogenesis=module:M00003;glycolysis=module:M00001;nad_binding=ec:1.2.1.59;oxidoreductase=ec:1.2.1.59
K00151	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.60;oxidoreductase=ec:1.2.1.60
K00152	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.65;oxidoreductase=ec:1.2.1.65
K00153	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.306;nad_binding=ec:1.1.1.306;oxidoreductase=ec:1.1.1.306
K00154	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=ec:1.2.1.68;oxidoreductase=ec:1.2.1.68
K00155	nad_binding,oxidoreductase,reductase	nad_binding=ec:1.2.1.101;oxidoreductase=ec:1.2.1.101;reductase=text:reductase
K00156	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.5.1
K00157	oxidase,oxidoreductase	oxidase=text:oxidase;oxidoreductase=ec:1.2.3.1
K00158	oxidase,oxidoreductase	oxidase=text:oxidase;oxidoreductase=ec:1.2.3.3
K00161	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00307;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.4.1
K00162	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00307;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.4.1
K00163	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00307;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.4.1
K00164	central_metabolism,complex_subunit,dehydrogenase,oxidoreductase,tca_cycle	central_metabolism=text:oxoglutarate;complex_subunit=module:M00009;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.4.2;tca_cycle=module:M00009
K00166	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00036;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.4.4
K00167	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00036;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.4.4
K00169	complex_subunit,oxidoreductase	complex_subunit=module:M00173;oxidoreductase=ec:1.2.7.1
K00170	complex_subunit,oxidoreductase	complex_subunit=module:M00173;oxidoreductase=ec:1.2.7.1
K00171	complex_subunit,oxidoreductase	complex_subunit=module:M00173;oxidoreductase=ec:1.2.7.1
K00172	complex_subunit,oxidoreductase	complex_subunit=module:M00173;oxidoreductase=ec:1.2.7.1
K00174	complex_subunit,oxidoreductase,tca_cycle	complex_subunit=module:M00009;oxidoreductase=ec:1.2.7.3;tca_cycle=module:M00009
K00175	complex_subunit,oxidoreductase,tca_cycle	complex_subunit=module:M00009;oxidoreductase=ec:1.2.7.3;tca_cycle=module:M00009
K00176	complex_subunit,oxidoreductase,tca_cycle	complex_subunit=module:M00009;oxidoreductase=ec:1.2.7.3;tca_cycle=module:M00009
K00177	complex_subunit,oxidoreductase,tca_cycle	complex_subunit=module:M00009;oxidoreductase=ec:1.2.7.3;tca_cycle=module:M00009
K00179	oxidoreductase	oxidoreductase=ec:1.2.7.8
