# Pfam/GO/ENZYME facts behind pfam_predicates.tsv (generated).
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# accession	name	description	go_anchors	enzymes
PF25756	TPR_INTS8	INTS8, TPR repeats		
PF25757	TPR_DNAAF5	Dynein axonemal assembly factor 5-like, TPR repeats		
PF25758	TPR_IPO11	Importin-11-like, TPR repeats		
PF25759	HP1_ORF34	Bacteriophage HP1 ORF34 baseplate complex protein		
PF25760	Phage_RB18_ORF43	Phage RB18 ORF43.1 protein		
PF25761	TPR_PATROL1	PATROL1-like, TPR repeats		
PF25763	Aurora-A_bind_CEP192	CEP192 Aurora A binding region		
PF25765	PLK4_bind_CEP192	CEP192, PLK4 binding region		
PF25766	TPR_RPAP1	RNA polymerase II-associated protein 1, TPR repeats		
PF25767	ARM_TBCD_2nd	Tubulin-specific chaperone D-like, ARM repeats		
PF25768	TPR_IFT121	IFT121-like, TPR repeats		
PF25769	PLK4_bind_CEP152	CEP152, PLK4 binding region		
PF25770	CC_CEP63-bind_CEP152	CEP152, CEP63 binding coiled coil		
PF25771	CC_CEP152-bind	CEP63/DEUP1, CEP152 binding coiled coil		
PF25772	HEAT_RRP12_N	RRP12-like, N-terminal HEAT repeats		
PF25773	TPR_ANAPC2	ANAPC2-like, TPR repeats		
PF25774	CC_CEP250	CEP250 coiled coil		
PF25775	CC_STIL	STIL coiled coil region		
PF25777	Aurora-A_bind_TACC3	TACC3, Aurora-A binding region		
PF25778	DUF7948	Domain of unknown function (DUF7948)		
PF25779	Tubulin-bind_CPAP	CPAP, tubulin-binding region		
PF25780	TPR_IPO5	IPO5-like, TPR repeats		
PF25781	TPR_TEX10	TEX10-like, TPR repeats		
PF25782	TPR_CAND1	CAND1-like, TPR repeats		
PF25785	TPR	Nucleoprotein TPR-like domain		
PF25786	HEAT_GCN1_C	GCN1-like, C-terminal HEAT repeats		
PF25787	HTH_SB	Sleeping Beauty transposase HTH domain		
PF25789	TPR_NAA35	NAA35-like, TPR repeats		
PF25791	WHD_BREX_BrxC	BREX ATP-binding protein BrxC winged helix-turn-helix domain		
PF25792	BREX_BrxC_helical	BREX ATP-binding protein BrxC alpha helical domain		
PF25795	TPR_XPO7	Exportin-7-like, TPR domain		
PF25796	BREX_BrxC_4th	BREX ATP-binding protein BrxC 4th domain with six-stranded beta sheet		
PF25801	HEAT_GCN1_C_2	Stalled ribosome sensor GCN1-like, HEAT repeats		
PF25808	TPR_LAA1_C	LAA1-like, C-terminal TPR repeats		
PF25810	TMEM218_N	Transmembrane protein 218, N-terminal domain		
PF25813	zf_VAL1_N	VAL1-like, N-terminal zinc finger domain		
PF25820	DUF7949	Domain of unknown function (DUF7949)		
PF25821	DUF7950	Domain of unknown function (DUF7950)		
PF25824	DUF7951	Repeat of unknown function (DUF7951)		
PF25826	DUF7952	Domain of unknown function (DUF7952)		
PF25828	CC_Cfap43	Cfap43 coiled coil		
PF25829	DUF7953	Domain of unknown function (DUF7953)		
PF25840	Ulvan_lyase_N	Ulvan lyase N-terminal domain		
PF25841	Ulvan_lyase_C	Ulvan lyase C-terminal domain		
PF25842	NfeD_TM	NfeD N-terminal transmembrane domain		
PF25843	DUF7954	Domain of unknown function (DUF7954)		
PF25844	DUF7955	Domain of unknown function (DUF7955)		
PF25845	DUF7956	Domain of unknown function (DUF7956)		
PF25849	PelX_N	Pectate disaccharide-lyase N-terminal domain		pectate disaccharide-lyase=4.2.2.9
PF25850	PelX_Ig	Pectate disaccharide-lyase central Ig-like domain		pectate disaccharide-lyase=4.2.2.9
PF25852	DUF6242_C	DUF6242 beta propeller domain		
PF25853	DUF6311_C	DUF6311 C-terminal domain		
PF25854	MPN_270	Mycoplasma MPN_270/MG131 three-helix transmembrane protein		
PF25855	IpaJ_protease	Invasion plasmid antigen J, cysteine protease		
PF25857	DUF7957	Domain of unknown function (DUF7957)		
PF25858	DUF7958	Family of unknown function (DUF7958)		
PF25870	WHD_UFL1_5th	Winged helix-turn-helix domain 5 in UFL1 protein		
PF25871	HTH_76	Helix-turn-helix domain		
PF25872	HTH_77	Winged helix-turn-helix domain		
PF25874	WHD_plant_repro	Winged helix-turn-helix domain in plant reproductive proteins		
PF25875	WHD_Rad26_CSB	Rad26/CSB winged helix DNA-binding domain		
PF25877	WHD_SOWAH	SOWAH N-terminal winged helix-turn-helix domain		
PF25882	Plasmid_parti_C	Putative plasmid partition protein C-terminal domain		
PF25886	Msy1	Mechanosensitive ion channel protein Msy1-like, transmembrane domain		
PF25892	Spe-44	Transcription regulator spe-44-like domain		
PF25894	WHD_HELB	DNA helicase B winged helix domain		dna helicase=3.6.4.12
PF25896	HTH_AT3G52170	Helix-turn-helix domain in AT3G52170-like protein		
PF25899	DUF7959	Domain of unknown function (DUF7959)		
PF25901	DUF7960	Family of unknown function (DUF7960)		
PF25902	DUF7961_N	DUF7961 N-terminal domain		
PF25903	DUF7961_C	DUF7961 C-terminal domain		
PF25905	DUF8564	Domain of unknown function (DUF8564)		
PF25907	DUF7962	Domain of unknown function (DUF7962)		
PF25908	DUF7963	Domain of unknown function (DUF7963)		
PF25909	zf-C2H2_AHC1	AHC1 C2H2 zinc-finger domain		
PF25912	DUF7964	Domain of unknown function (DUF7964)		
PF25913	DUF7965	Family of unknown function (DUF7965)		
PF25914	RNF6_N	E3 ubiquitin-protein ligase RNF6, N-terminal domain		
PF25918	MSH_C	Malate synthase H C-terminal domain		malate synthase=2.3.3.9
PF25920	DUF7966	Family of unknown function (DUF7966)		
PF25921	DUF7967	Family of unknown function (DUF7967)		
PF25922	DUF7968	Family of unknown function (DUF7968)		
PF25923	DUF7969	Domain of unknown function (DUF7969)		
PF25925	DUF7970	Family of unknown function (DUF7970)		
PF25926	DUF7971	Family of unknown function (DUF7971)		
PF25927	DUF7972	Family of unknown function (DUF7972)		
PF25928	DUF7973	Family of unknown function (DUF7973)		
PF25929	DUF7974	Family of unknown function (DUF7974)		
PF25930	DUF7975	Family of unknown function (DUF7975)		
PF25931	DUF7976	Family of unknown function (DUF7976)		
PF25932	DUF7977	Family of unknown function (DUF7977)		
PF25933	DUF7978	Family of unknown function (DUF7978)		
PF25934	DUF7979	Family of unknown function (DUF7979)		
PF25936	HisG_halo	Halobacterial ATP phosphoribosyltransferase		atp phosphoribosyltransferase=2.4.2.17
PF25937	DUF7980	Family of unknown function (DUF7980)		
PF25938	DUF7981	Domain of unknown function (DUF7981)		
PF25939	DUF7982	Domain of unknown function (DUF7982)		
PF25941	PDDEXK_16	PD-(D/E)XK nuclease superfamily domain		
PF25943	DUF7983	Family of unknown function (DUF7983)		
PF25945	DUF7984	Domain of unknown function (DUF7984)		
PF25946	DUF7985	Family of unknown function (DUF7985)		
PF25948	DUF7986	Family of unknown function (DUF7986)		
PF25949	DUF7987	Family of unknown function (DUF7987)		
PF25950	DUF7988	Domain of unknown function (DUF7988)		
PF25951	DUF7989	Family of unknown function (DUF7989)		
PF25952	DUF7990	Family of unknown function (DUF7990)		
PF25953	DUF7991	Family of unknown function (DUF7991)		
PF25955	DUF7992	Family of unknown function (DUF7992)		
PF25956	DUF7993	Family of unknown function (DUF7993)		
PF25957	DUF7994	Family of unknown function (DUF7994)		
PF25958	DUF7995	Domain of unknown function (DUF7995)		
PF25959	DUF7996	Family of unknown function (DUF7996)		
PF25968	CALS1	Callose synthase 1 domain		callose synthase=2.4.1.34
PF25974	GVIN1	Interferon-induced very large GTPase 1 domain		
PF25978	DUF7997	Domain of unknown function (DUF7997)		
PF25979	DUF7998	Domain of unknown function (DUF7998)		
PF25981	HTH_Cic_C	Protein capicua homolog-like, C-terminal tri-helical domain		
PF25985	Ubiquitin_USP47_N	Ubiquitin carboxyl-terminal hydrolase 47, ubiquitin-like domain		
PF25987	PRRT3	Proline-rich transmembrane protein 3 domain		
PF25991	KhtT_N	K(+)/H(+) antiporter subunit KhtT, N-terminal domain		
PF25993	zf-B_box_ZFPL1	ZFPL1-like, B-box zinc-binding domain		
PF25996	HTH_CLF_N	Histone-lysine N-methyltransferase CLF, N-terminal HTH domain		
PF26000	UBA_ARIH2_N	E3 ubiquitin-protein ligase ARIH2, N-terminal UBA domain		
PF26003	Integrase_N_phage	Phage integrase, N-terminal domain		
PF26005	rSAM_target_put	Putative radical SAM target protein		
PF26006	DUF7999	Family of unknown function (DUF7999)		
PF26007	DUF8000	Family of unknown function (DUF8000)		
PF26008	DUF8001	Family of unknown function (DUF8001)		
PF26009	DUF8002	Family of unknown function (DUF8002)		
PF26010	DUF8003	Domain of unknown function (DUF8003)		
PF26013	DUF8004	Domain of unknown function (DUF8004)		
PF26016	ExoI_C	Exonuclease I C-terminal domain		exonuclease i=3.1.11.1|3.1.4.1
PF26019	HTH_TIMELESS	TIMELESS, tri-helical helix-turn-helix domain		
PF26020	LRR_16	Leucine-rich repeat domain		
PF26022	CC_Liprin_beta	Liprin beta, coiled-coil domain		
PF26023	ALA1	Alanine--tRNA ligase domain		alanine--trna ligase=6.1.1.7
PF26024	RAG1_DNA-bd	Recombination-activation protein 1 (RAG1) DNA-binding domain		
PF26026	RNA_hel_CTD	C-terminal domain in RNA helicases		
PF26027	DUF8005	Family of unknown function (DUF8005)		
PF26028	DUF8006	Domain of unknown function (DUF8006)		
PF26029	DUF8007	Family of unknown function (DUF8007)		
PF26032	DUF8008	Family of unknown function (DUF8008)		
PF26033	DUF8009	Domain of unknown function (DUF8009)		
PF26035	DUF8010	Domain of unknown function (DUF8010)		
PF26037	zf-RING_DCST1_C	E3 ubiquitin-protein ligase DCST1-like, C-terminal RING domain		
PF26040	Zn_ribbon_CLPX_N	CLPX-like, zinc ribbon domain		
PF26041	DUF8011	Family of unknown function (DUF8011)		
PF26042	DUF8012	Family of unknown function (DUF8012)		
PF26043	DUF8013	Domain of unknown function (DUF8013)		
PF26044	Antitox_halo	Putative halobacterial antitoxin to Fic		
PF26046	DUF8014	Domain of unknown function (DUF8014)		
PF26047	DUF8015	Family of unknown function (DUF8015)		
PF26050	Helical_CED_Drosha	Ribonuclease 3, central domain, two antiparallel helical region		ribonuclease 3=3.1.26.3
PF26054	PHD_G2E3	G2E3-like, PHD zinc finger domain		
PF26056	DUF8017	Domain of unknown function (DUF8017)		
PF26057	DUF8018	Domain of unknown function (DUF8018)		
PF26058	DUF8019	Domain of unknown function (DUF8019)		
PF26059	DUF8020	Domain of unknown function (DUF8020)		
PF26061	DUF8021	Domain of unknown function (DUF8021)		
PF26067	DUF8024	Family of unknown function (DUF8024)		
PF26068	DUF8025	Domain of unknown function (DUF8025)		
PF26069	DUF8026	Family of unknown function (DUF8026)		
PF26070	DUF8027	Domain of unknown function (DUF8027)		
PF26071	DUF8028	Family of unknown function (DUF8028)		
PF26072	DUF8029	Family of unknown function (DUF8029)		
PF26073	DUF8030	Domain of unknown function (DUF8030)		
PF26074	Phage_DEC_PhiTE	Bacteriophage PhiTE minor capsid decoration protein		
PF26075	Phage_Adaptor_PhiTE	Bacteriophage PhiTE adapter protein		
PF26081	DUF8031	Domain of unknown function (DUF8031)		
PF26082	zf-C2H2_AcuF	Oxidoreductase acuF-like, C2H2 type zinc-finger		
PF26083	TM_Tm6sf2	Transmembrane 6 superfamily member 2-like, transmembrane domain		
PF26087	DUF8032	Domain of unknown function (DUF8032)		
PF26092	T4_Y16D	Phage T4 y16D protein		
PF26093	HTH_TGH	TGH-like, helix-turn-helix domain		
PF26094	HTH_TSHZ3	Teashirt homolog 3-like, homeodomain		
PF26095	CC_Bre1	Bre1, coiled-coil containing domain		
PF26096	DUF8033	Family of unknown function (DUF8033)		
PF26099	DUF8034	Domain of unknown function (DUF8034)		
PF26103	TPR_Epg5	Epg5-like, TPR repeats		
PF26106	TPR_Epg5_C	Epg5-like, C-terminal TPR repeats		
PF26107	BrxR_CTD	BrxR transcriptional regulator, C-terminal dimerization domain		
PF26109	WHD_BrxR	BrxR transcriptional regulator winged helix-turn-helix domain		
PF26115	PDDEXK_GAPS4	GAPS4 protein PD-(D/E)XK nuclease domain		
PF26118	DUF8035	Family of unknown function (DUF8035)		
PF26119	DUF8036	Family of unknown function (DUF8036)		
PF26121	HTH_CDT1	Cell division cycle protein CDT1-like, helix-turn-helix domain		
PF26123	DUF8037	Domain of unknown function (DUF8037)		
PF26124	DUF8038	Domain of unknown function (DUF8038)		
PF26125	AcrVA2-like	Anti-CRISPR type V subtype A2 family		
PF26127	12TM_Mok13	Mok13-like, transmembrane domain		
PF26133	DUF8039	Domain of unknown function (DUF8039)		
PF26137	Toxin_SdpC	Sporulation delaying protein family toxin		
PF26138	DUF8040	Domain of unknown function (DUF8040)		
PF26140	HEAT_URB1	URB1, central HEAT repeat domain		
PF26145	DUF8041	Domain of unknown function (DUF8041)		
PF26147	AB_HYDROLASE_YMC0-YMC35	YMC0/YMC35 alpha/beta hydrolase domain		
PF26151	AcrIF11_ADP_ribosyl	Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11		adp-ribosyltransferase=2.4.2.30|2.4.2.31|2.4.2.36
PF26154	DUF8042	Domain of unknown function (DUF8042)		
PF26158	Claudin_TMEM179-179B	Transmembrane protein 179/179B Claudin domain		
PF26159	DUF8043	Domain of unknown function (DUF8043)		
PF26161	DUF8044	Family of unknown function (DUF8044)		
PF26163	mS26	Small ribosomal subunit protein mS26	GO:0003735,GO:0005198	
PF26165	RESC7	RNA-editing substrate-binding complex 7 protein		
PF26167	TPR_DDX60	DDX60 TPR domain		
PF26168	Glyco_transf_N	Glycosyltransferase, N-terminal domain		
PF26169	HHH_XRCC3_RpoA	XRCC3/RpoA-like, helix-hairpin-helix domain		
PF26170	RESC5	RNA-editing substrate-binding complex 5 protein		
PF26172	RESC8	RNA-editing substrate-binding complex 8 protein		
PF26175	HTH_FAR1	FAR1 HTH-like domain		
PF26176	zf_C2H2_17_2	C2H2-domain containing protein second zinc finger domain		
PF26177	zf_C2H2_17_1st	C2H2-domain containing protein first zinc finger domain		
PF26179	RESC10	RNA-editing substrate-binding complex 10 protein		
PF26180	PAP-OAS1	PAP/OAS1 substrate-binding domain		
PF26188	RESC6	RNA-editing substrate-binding complex 6 protein		
PF26193	DUF8045	Domain of unknown function (DUF8045)		
PF26207	Phage_phiTE_015	Phage PhiTE phiTE_015 protein family		
PF26208	Phage_phiTE_241_N	Putative phage tail fibre N-terminal domain		
PF26209	Phage_phiTE_241_C	Putative phage tail fibre C-terminal domain		
PF26210	Phage_phiTE_211	Phage phiTE_211 family		
PF26211	Phage_phiTE_072	Phage phiTE_072 family		
PF26212	Phage_T7_Gp15	Phage T7 Internal virion protein gp15	GO:0019058	
PF26215	HTH_animal	Animal helix-turn-helix domain		
PF26218	zf_C2H2_ZNF292	Zinc finger protein 292, C2H2-type zinc finger		
PF26219	DUF8046	Family of unknown function (DUF8046)		
PF26220	DUF8047	Family of unknown function (DUF8047)		
PF26221	Phage_phiTE_239	Phage PhiTE phiTE_239 protein family		
PF26222	DUF8048	Domain of unknown function (DUF8048)		
PF26223	DUF8049	Domain of unknown function (DUF8049)		
PF26224	DUF8050	Domain of unknown function (DUF8050)		
PF26225	DUF8051	Domain of unknown function (DUF8051)		
PF26226	DUF8052	Domain of unknown function (DUF8052)		
PF26227	DUF8053	Domain of unknown function (DUF8053)		
PF26231	CgnE_B	Crocagin biosynthetic protein CgnE/B		
PF26232	Fn3_RsgI4	Anti-sigma factor RsgI4, sensor domain		
PF26233	NicX	2,5-dihydroxypyridine 5,6-dioxygenase		
PF26235	zf-KKT2_KKT3	KKT2/KKT3 zinc finger domain		
PF26236	DUF8054_N	Family of unknown function (DUF8054) N-terminal domain		
PF26237	DUF8054_C	Family of unknown function (DUF8054) C-terminal domain		
PF26238	DUF8054_M	Family of unknown function (DUF8054) central domain		
PF26239	DUF8572	Domain of unknown function (DUF8572)		
PF26240	DUF8055	Domain of unknown function (DUF8055)		
PF26241	Cas_Csc1	Type I-D CRISPR-associated protein Cas5/Csc1		
PF26243	DUF8056	Domain of unknown function (DUF8056)		
PF26244	DUF8057	Family of unknown function (DUF8057)		
PF26245	TPR_TTI1_2nd_yeast	Yeast TEL2-interacting protein 1, second TPR domain		
PF26247	DUF8058	Domain of unknown function (DUF8058)		
PF26248	DUF8059	Domain of unknown function (DUF8059)		
PF26251	TPR_TRAPPC9-Trs120	Trs120/TRAPPC9 TPR		
PF26252	RdRP_helical	RNA dependent RNA polymerase, helical domain		
PF26256	DUF8060	Domain of unknown function (DUF8060)		
PF26257	DUF8061	Domain of unknown function (DUF8061)		
PF26258	DUF8062	Family of unknown function (DUF8062)		
PF26259	DUF8063	Family of unknown function (DUF8063)		
PF26260	DUF8064	Family of unknown function (DUF8064)		
PF26261	DUF8065	Family of unknown function (DUF8065)		
PF26262	DUF8066	Family of unknown function (DUF8066)		
PF26263	DUF8067	Family of unknown function (DUF8067)		
PF26265	DUF8068	Integral membrane family of unknown function (DUF8068)		
PF26266	DUF8069	Domain of unknown function (DUF8069)		
PF26267	DUF8070	Domain of unknown function (DUF8070)		
PF26268	DUF8071	Domain of unknown function (DUF8071)		
PF26269	DUF8072	Domain of unknown function (DUF8072)		
PF26270	DUF8073_C	Family of unknown function (DUF8073) C-terminal domain		
PF26271	DUF8073_M	Family of unknown function (DUF8073), central HTH domain		
PF26272	DUF8073_N	Family of unknown function (DUF8073) N-terminal domain		
PF26273	Gly_zipper	Glycine zipper membrane protein		
PF26274	DUF8565	Domain of unknown function (DUF8565)		
PF26275	DUF8074	Domain of unknown function (DUF8074)		
PF26276	DUF8075	Domain of unknown function (DUF8075)		
PF26277	DUF8076	Domain of unknown function (DUF8076)		
PF26284	DUF8077	Domain of unknown function (DUF8077)		
PF26287	DUF8078	Domain of unknown function (DUF8078)		
PF26290	DUF8079	Repeat of unknown function (DUF8079)		
PF26292	PUA_elF2D	elF2D, PUA domain		
PF26293	DUF7855_C	Family of unknown function (DUF7855) C-terminal domain		
PF26295	PDDEXK_17	PD-(D/E)XK nuclease superfamily domain		
PF26296	DUF8080	Domain of unknown function (DUF8080)		
PF26297	DUF8081	Domain of unknown function (DUF8081)		
PF26300	PEPCK_PPi_lobe_2	PPi-type phosphoenolpyruvate carboxykinase lobe 2 domain		phosphoenolpyruvate carboxykinase=4.1.1.32|4.1.1.38|4.1.1.49
PF26305	CD_NTase_C	cGAS/DncV-like nucleotidyltransferase C-terminal helical domain		
PF26309	DUF8082	Domain of unknown function (DUF8082)		
PF26312	DUF8083	Domain of unknown function (DUF8083)		
PF26314	MptA_B_family	Alpha-(1->6)-mannopyranosyltransferase, N-terminal domain		
PF26318	SocB	Sliding clamp-binding bacterial toxin SocB		
PF26320	Peptidase_M27_Wo	Botulinum-like neurotoxin Wo, peptidase domain		
PF26323	EsxC	Staphylococcus aureus type VII secretion system substrate EsxC		
PF26324	HopBF1_kinase	Type III secretion system effector HopBF1 kinase domain		
PF26329	DUF8084	Family of unknown function (DUF8084)		
PF26330	DUF8085	Family of unknown function (DUF8085)		
PF26331	DUF8086	Family of unknown function (DUF8086)		
PF26332	DUF8087	Domain of unknown function (DUF8087)		
PF26334	Gtf3_N	Glucosyltransferase 3-like, N-terminal domain		
PF26336	MacP_activator	Penicillin-binding protein 2a activator MacP		
PF26337	Gtf3_C	Glucosyltransferase 3-like, C-terminal domain		
PF26338	DUF8088	Domain of unknown function (DUF8088)		
PF26339	DUF8089	Domain of unknown function (DUF8089)		
PF26340	DNA-SBD_ScoMcrA	ScoMcrA-like, DNA sulfur-binding domain		
PF26341	AAA_SelU	tRNA 2-selenouridine synthase AAA domain		trna 2-selenouridine synthase=2.9.1.3
PF26343	VapC50_C	VapC50 C-terminal domain		
PF26347	YtrI_C	Sporulation membrane protein YtrI, C-terminal domain		
PF26349	YoqH	SPbeta prophage-derived uncharacterized protein YoqH		
PF26350	DUF8090	Domain of unknown function (DUF8090)		
PF26351	DUF8091	Domain of unknown function (DUF8091)		
PF26355	HTH_VMAP-M9	vWA-MoxR associated protein N-terminal HTH		
PF26357	DUF8092	Domain of unknown function (DUF8092)		
PF26360	MIB_M1	Mycoplasma immunoglobulin binding protein M1 domain		
PF26361	MIB_arm	Mycoplasma immunoglobulin binding protein arm domain		
PF26362	DUF8093	Domain of unknown function (DUF8093)		
PF26363	Phospholipase-like	Tle-like phospholipase domain		
PF26364	MIB_M2	Mycoplasma immunoglobulin binding protein M2 domain		
PF26365	ApoNAT_membrane	Apolipoprotein N-acyltransferase integral membrane domain		apolipoprotein n-acyltransferase=2.3.1.269
PF26366	DUF8094	Domain of unknown function (DUF8094)		
PF26367	DUF8095	Domain of unknown function (DUF8095)		
PF26368	OMP10	Outer membrane lipoprotein Omp10		
PF26370	KDD_N	L-erythro-3,5-diaminohexanoate dehydrogenase N-terminal domain		
PF26372	DUF8096	Domain of unknown function (DUF8096)		
PF26374	Ulvan_lyaseC	Endo-acting ulvan lyase C-terminal domain		
PF26375	SidJ_CaM_N	SidJ calmodulin-dependent glutamylase N-terminal domain		
PF26377	Ulvan_lyase_2nd	Endo-acting ulvan lyase 2nd domain		
PF26380	Pilin_Mycobact	Mycobacterial Pilin Family		
PF26381	BREX_PglY_5th	BREX System ATPase PglY protein 5th domain		
PF26382	BREX_PglY_6th	BREX System ATPase PglY protein 6th domain		
PF26383	DUF6079_2nd	DUF6079 second domain		
PF26384	DUF6079_3rd	DUF6079 third domain		
PF26385	DUF6079_4th	Family of unknown function (DUF6079) 4th domain		
PF26386	NrnB_C	Oligoribonuclease NrnB C-terminal domain		
PF26387	DUF6079_5th	Family of unknown function (DUF6079) 5th domain		
PF26388	DUF6079_6th	Family of unknown function (DUF6079) 6th domain		
PF26393	Lart1_ADPRT	Lart1 ADP-ribosyltransferase family		adp-ribosyltransferase=2.4.2.30|2.4.2.31|2.4.2.36
PF26397	DUF8097	Domain of unknown function (DUF8097)		
PF26400	DUF8098	Domain of unknown function (DUF8098)		
PF26401	DUF8099	Family of unknown function (DUF8099)		
PF26402	DUF8100	Domain of unknown function (DUF8100)		
PF26403	DUF8101	Domain of unknown function (DUF8101)		
PF26404	DUF8102	Domain of unknown function		
PF26405	DUF8103	Domain of unknown function (DUF8103)		
PF26406	DUF8104	Family of unknown function (DUF8104)		
PF26407	DUF8105	Family of unknown function (DUF8105)		
PF26408	DUF8106	Domain of unknown function (DUF8106)		
PF26409	DUF8107	Domain of unknown function (DUF8107)		
PF26411	LAGLIDADG_4	Putative archaeal homing endonuclease		endonuclease=3.1.30.2
PF26413	DUF8108	Family of unknown function (DUF8108)		
PF26414	DUF8109	Family of unknown function (DUF8109)		
PF26415	DUF8110	Domain of unknown function (DUF8110)		
PF26416	DUF8111	Putative primase C-terminal domain		
PF26417	DUF8112	Domain of unknown function (DUF8112)		
PF26418	DUF8113	Domain of unknown function (DUF8113)		
PF26419	DUF8114	Family of unknown function (DUF8114)		
PF26424	DUF8115	Domain of unknown function (DUF8115)		
PF26425	PIN_halo	Halobacterial PIN domain		
PF26426	DUF8116	Domain of unknown function (DUF8116)		
PF26427	HR_L37	50S ribosomal protein L37 helical region		
PF26431	DUF8117	Domain of unknown function (DUF8117)		
PF26435	DUF8118	Domain of unknown function (DUF8118)		
PF26436	DUF8119	Domain of unknown function (DUF8119)		
PF26437	PDDEXK_18	PD-(D/E)XK nuclease superfamily domain		
PF26438	DUF8108_N	Domain of unknown function (DUF8108) N-terminal domain		
PF26439	DUF8120	Family of unknown function (DUF8120)		
PF26440	DUF8108_M	Domain of unknown function (DUF8108) central domain		
PF26441	DUF8121	Domain of unknown function (DUF8121)		
PF26442	Halo_toxin	Putative RelE superfamily toxin domain		
PF26443	DUF8122	Domain of unknown function (DUF8122)		
PF26444	DUF8123	Domain of unknown function (DUF8123)		
PF26445	DUF8124	Domain of unknown function (DUF8124)		
PF26446	DUF8125	Family of unknown function (DUF8125)		
PF26447	DUF8126	Domain of unknown function (DUF8125) C-terminal domain		
PF26448	DUF8127	Family of unknown function (DUF8127)		
PF26449	DUF8128	Domain of unknown function (DUF8128)		
PF26450	DUF8129	Domain of unknown function (DUF8129)		
PF26451	DUF8130	Domain of unknown function (DUF8130)		
PF26452	DUF8131	Domain of unknown function (DUF8131)		
PF26453	DUF8132	Domain of unknown function (DUF8132)		
PF26454	DUF8133	Domain of unknown function (DUF8133)		
PF26455	DUF8134	Domain of unknown function (DUF8134)		
PF26456	DUF8135	Domain of unknown function (DUF8135)		
PF26457	DUF8136	Domain of unknown function (DUF8136)		
PF26458	DUF8137	Domain of unknown function (DUF8137)		
PF26459	DUF8138	Family of unknown function (DUF8138)		
PF26460	DUF8139	Domain of unknown function (DUF8139)		
PF26462	WH_Halo_primase	Halobacteria primase winged helix domain		
PF26463	DUF8140	Family of unknown function (DUF8140)		
PF26464	DUF8141	Domain of unknown function (DUF8141)		
PF26465	DUF8142	Domain of unknown function (DUF8142)		
PF26466	DNA_primase_lrg_N	Eukaryotic and archaeal DNA primase, large subunit N-terminal domain		
PF26467	DUF8143	Family of unknown function (DUF8143)		
PF26469	DUF8144	Domain of unknown function (DUF8144)		
PF26470	DUF8145	Domain of unknown function (DUF8145)		
PF26471	DUF8146	Family of unknown function (DUF8146)		
PF26472	DUF8147	Domain of unknown function (DUF8147)		
PF26473	DUF8148	Domain of unknown function (DUF8148) N-terminal domain		
PF26474	DUF8148_M	Domain of unknown function (DUF8148) central domain		
PF26475	DUF8148_C	Domain of unknown function (DUF8148) C-terminal domain		
PF26476	DUF8149	Domain of unknown function (DUF8149)		
PF26477	DUF8150	Family of unknown function (DUF8150)		
PF26478	DUF8151	Domain of unknown function (DUF8151)		
PF26479	DUF8152	Domain of unknown function (DUF8152)		
PF26480	DUF8153	Domain of unknown function (DUF8153)		
PF26481	DUF8154	Domain of unknown function (DUF8154)		
PF26482	DUF8155	Domain of unknown function (DUF8155) N-terminal domain		
PF26483	DUF8155_C	Domain of unknown function (DUF8155) C-terminal domain		
PF26485	DUF8156	Domain of unknown function (DUF8156)		
PF26486	DUF8157	Domain of unknown function (DUF8157) N-terminal domain		
PF26487	DUF8157_C	Domain of unknown function (DUF8157) C-terminal domain		
PF26488	DUF8158	Domain of unknown function (DUF8158)		
PF26489	DUF8165	Domain of unknown function (DUF8165)		
PF26490	DUF8159	Domain of unknown function (DUF8159)		
PF26492	DUF8160	Domain of unknown function (DUF8160)		
PF26493	DUF8161	Domain of unknown function (DUF8161) N-terminal domain		
PF26494	DUF8162	Domain of unknown function (DUF8162)		
PF26495	DUF8161_C	Domain of unknown function (DUF8161) C-terminal domain		
PF26496	DUF8163	Domain of unknown function (DUF8163)		
PF26497	Halo_RE	Putative halobacteria restriction endonuclease		endonuclease=3.1.30.2
PF26498	DUF8164	Domain of unknown function (DUF8164)		
PF26499	PIN_13	Halobacterial PIN domain		
PF26500	DUF8166	Domain of unknown function (DUF8166)		
PF26501	DUF8167	Domain of unknown function (DUF8167) N-terminal domain		
PF26502	DUF8167_2nd	Domain of unknown function (DUF8167) 2nd domain		
PF26503	DUF8167_3rd	Domain of unknown function (DUF8167) 3rd domain		
PF26504	DUF8168_C	Domain of unknown function (DUF8168) C-terminal domain		
PF26505	DUF8168_N	Domain of unknown function (DUF8168) N-terminal domain		
PF26506	DUF8574	Domain of unknown function (DUF8574)		
PF26507	DUF8169	Family of unknown function (DUF8169)		
PF26508	DUF8170	Family of unknown function (DUF8170)		
PF26509	DUF8171	Family of unknown function (DUF8171)		
PF26511	DUF8172	Family of unknown function (DUF8172)		
PF26512	SOI	Styrene oxide isomerase		
PF26514	DUF8173	Domain of unknown function (DUF8173)		
PF26516	CBRB	Inner membrane protein CbrB		
